Node,Basal_Mean,Basal_Median,Basal_SD,Skew_Basal,Modes_Basal,IL1b_Mean,IL1b_Median,IL1b_SD,Skew_IL1b,Modes_IL1b,p_t_Basal_vs_IL1b,q_t_Basal_vs_IL1b,tstat_Basal_vs_IL1b,p_w_Basal_vs_IL1b,q_w_Basal_vs_IL1b,z_Basal_vs_IL1b,TLR_Mean,TLR_Median,TLR_SD,Skew_TLR,Modes_TLR,p_t_Basal_vs_TLR,q_t_Basal_vs_TLR,tstat_Basal_vs_TLR,p_w_Basal_vs_TLR,q_w_Basal_vs_TLR,z_Basal_vs_TLR,p_t_IL1b_vs_TLR,q_t_IL1b_vs_TLR,tstat_IL1b_vs_TLR,p_w_IL1b_vs_TLR,q_w_IL1b_vs_TLR,z_IL1b_vs_TLR
IL-1R1,2.8866968711102497e-38,8.666706332522802e-40,1.072301336236514e-37,5.650883719438616,1,1.0,1.0,4.4408920985006264e-17,,1,0.0,0.0,-3.1765545450718624e+17,2.798878810584586e-40,5.737701561698401e-39,-13.285790239765154,0.7177575334271742,0.7187857471572418,0.007904758584912023,-0.4997615637818254,1,0.0,0.0,-1280.9013599478637,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,5.299545313013e-311,6.486010681598e-311,503.68647131009567,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IL-6,2.612295793971675e-38,7.998708707897412e-40,9.67340196240093e-38,5.573548863113623,1,0.97538690848748,0.975386908487482,2.366624690792603e-15,0.8588971196482101,1,0.0,0.0,-1.0390137678751788e+16,1.3613486193253712e-34,1.472050073080386e-34,-12.267042944207565,0.9246636612770369,0.9244984933881342,0.0009942235113124833,0.4497357263206,1,0.0,0.0,-13119.772356224894,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,719.6967767182261,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IL-6R,2.3982277259319573e-38,7.341386519438851e-40,8.86357747894017e-38,5.587419053204535,1,0.999106667844842,0.999106667844843,9.73267375312364e-16,1.0231881961501677,1,0.0,0.0,-1.34565324323996e+17,1.9132879776675197e-35,6.537067257030693e-35,-12.424957199774544,0.951745246523942,0.9515732631559997,0.0010626694229738337,0.4539177880949604,1,0.0,0.0,-12634.238477515562,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,628.7139271646511,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IL-17,1.5897931144882455e-40,4.729794873552097e-42,5.887512912959321e-40,5.568616348430934,1,0.9991737740183543,0.9991737740183582,3.889426751177776e-15,1.0086839213957834,1,0.0,0.0,-5.689088153748325e+16,2.55467589311455e-35,7.95441134554307e-35,-12.401815942248188,0.8241407810242083,0.8235713174724576,0.0037830050805735794,0.45790267361922643,1,0.0,0.0,-3073.2013730791546,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,652.6938683161392,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IL-17RA,1.6933305440180697e-40,5.0351399651406275e-42,6.268710487252203e-40,5.561384657651451,1,0.9999720950457059,0.9999720950457053,6.949765572831998e-16,-1.024475849385658,1,0.0,0.0,-5.47534306211631e+16,1.5211707133242126e-36,8.909714178041816e-36,-12.625836126691887,0.758305455285318,0.7574967285382647,0.005380869850557877,0.45705930572392417,1,0.0,0.0,-1988.0084720022073,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,633.5643821304037,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IL-18,1.7785467636960135e-38,5.384061296827361e-40,6.583519868086639e-38,5.575641744056963,1,0.3683552053374408,0.3683552053374415,4.323364321811502e-14,-2.8545337726868762,1,0.0,0.0,-120192589160218.4,1.4356812623359844e-34,1.472050073080386e-34,-12.262736582564834,0.35240237892564896,0.3521911965614065,0.0013105459138655427,0.47921181502838167,1,0.0,0.0,-3793.2645209256934,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,2.9584639830179337e-218,3.110180084711161e-218,171.71646406253313,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IL-18RA,1.5093429698013409e-38,4.5711505918402855e-40,5.589142052767001e-38,5.595353090944596,1,0.5961027012958768,0.5961027012958751,2.7687017940122258e-14,0.5861830198766704,1,0.0,0.0,-303718639621376.3,1.4352364731039494e-34,1.472050073080386e-34,-12.26276168605499,0.5210444767289225,0.5209107063446732,0.0007556418547530728,0.5853559284750859,1,0.0,0.0,-9727.143647012466,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,1401.2280426374837,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IL-12,3.65724433774948e-38,1.0949458767981172e-39,1.3571362567669936e-37,5.615621239652687,1,0.9999988199085407,0.9999988199085403,2.861921534125287e-16,-1.1590717130061345,1,0.0,0.0,-1.2312351117701472e+17,4.962398467115421e-36,2.3936274959027324e-35,-12.532421567025372,0.9855980056667906,0.9855572322874483,0.0003136566482285858,0.4600710690131635,1,0.0,0.0,-44327.3589976453,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,647.6779164346714,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IL-12R,3.1477382096978343e-38,9.383626492429728e-40,1.1665099145947743e-37,5.626259222871609,1,0.9999999602410895,0.9999999602410873,2.2298076989256963e-15,-1.008227520774508,1,0.0,0.0,-2.994884227099005e+17,8.413490394958233e-40,7.831749223676112e-39,-13.203155957930182,0.9838956427134733,0.983852936862212,0.0003501912817133279,0.46255446372694725,1,0.0,0.0,-39634.213608620485,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,648.7293298202097,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IFN-γ,1.778546802474845e-38,5.384018896471267e-40,6.583519907007442e-38,5.575641823327489,1,0.3683552053374408,0.3683552053374415,4.323364321811502e-14,-2.8545337726868762,1,0.0,0.0,-120192589160218.4,1.4356812623359844e-34,1.472050073080386e-34,-12.262736582564834,0.35240237892564896,0.3521911965614065,0.0013105459138655427,0.47921181502838167,1,0.0,0.0,-3793.2645209256934,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,2.9584639830179337e-218,3.110180084711161e-218,171.71646406253313,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IFN-γR,1.5093430542376578e-38,4.572364656621696e-40,5.589143528692048e-38,5.595355667899494,1,0.5961027012958768,0.5961027012958751,2.7687017940122258e-14,0.5861830198766704,1,0.0,0.0,-303718639621376.3,1.4352364731039494e-34,1.472050073080386e-34,-12.26276168605499,0.5210444767289225,0.5209107063446732,0.0007556418547530728,0.5853559284750859,1,0.0,0.0,-9727.143647012466,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,1401.2280426374837,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
